date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:19	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2002%20Jun%202017%2017:00:55%20GMT	http://themes.khaitawng.com/Branten/fonts/fontawesome-webfont.eot?	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/fontawesome-webfontd41d.eot	(from http://themes.khaitawng.com/Branten/css/font-awesome.min.css)
10:56:25	365616/365616	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2002%20Jun%202017%2017:00:58%20GMT	http://themes.khaitawng.com/Branten/fonts/fontawesome-webfont.svg?v=4.5.0	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/fontawesome-webfont3295.svg	(from http://themes.khaitawng.com/Branten/css/font-awesome.min.css)
10:56:27	66624/66624	---MCZ	200	added ('OK')	text/plain	date:Fri,%2002%20Jun%202017%2017:01:01%20GMT	http://themes.khaitawng.com/Branten/fonts/fontawesome-webfont.woff2?v=4.5.0	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/fontawesome-webfont3295.woff2	(from http://themes.khaitawng.com/Branten/css/font-awesome.min.css)
10:56:28	83588/83588	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2002%20Jun%202017%2017:01:02%20GMT	http://themes.khaitawng.com/Branten/fonts/fontawesome-webfont.woff?v=4.5.0	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/fontawesome-webfont3295.woff	(from http://themes.khaitawng.com/Branten/css/font-awesome.min.css)
10:56:29	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2029%20Oct%202017%2005:26:25%20GMT	http://themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular.eot	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular.html	(from http://themes.khaitawng.com/Branten/css/bootstrap.min.css)
10:56:29	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2029%20Oct%202017%2005:26:28%20GMT	http://themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular.eot?	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regulard41d.html	(from http://themes.khaitawng.com/Branten/css/bootstrap.min.css)
10:56:31	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2029%20Oct%202017%2005:26:29%20GMT	http://themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular.woff	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular-3.html	(from http://themes.khaitawng.com/Branten/css/bootstrap.min.css)
10:56:31	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2029%20Oct%202017%2005:26:29%20GMT	http://themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular.woff2	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular-2.html	(from http://themes.khaitawng.com/Branten/css/bootstrap.min.css)
10:56:31	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2029%20Oct%202017%2005:26:30%20GMT	http://themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular.ttf	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular-4.html	(from http://themes.khaitawng.com/Branten/css/bootstrap.min.css)
10:56:33	142072/142072	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2002%20Jun%202017%2017:00:59%20GMT	http://themes.khaitawng.com/Branten/fonts/fontawesome-webfont.ttf?v=4.5.0	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/fontawesome-webfont3295.ttf	(from http://themes.khaitawng.com/Branten/css/font-awesome.min.css)
10:56:33	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2029%20Oct%202017%2005:26:31%20GMT	http://themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular.svg	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular-5.html	(from http://themes.khaitawng.com/Branten/css/bootstrap.min.css)
10:56:34	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2029%20Oct%202017%2005:26:33%20GMT	http://themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular.eot	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular.html	(from http://themes.khaitawng.com/Branten/css/bootstrap.min.css)
10:56:34	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2029%20Oct%202017%2005:26:33%20GMT	http://themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular.eot?	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regulard41d.html	(from http://themes.khaitawng.com/Branten/css/bootstrap.min.css)
10:56:35	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2029%20Oct%202017%2005:26:34%20GMT	http://themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular.woff	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular-3.html	(from http://themes.khaitawng.com/Branten/css/bootstrap.min.css)
10:56:35	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2029%20Oct%202017%2005:26:33%20GMT	http://themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular.woff2	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular-2.html	(from http://themes.khaitawng.com/Branten/css/bootstrap.min.css)
10:56:36	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2029%20Oct%202017%2005:26:35%20GMT	http://themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular.ttf	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular-4.html	(from http://themes.khaitawng.com/Branten/css/bootstrap.min.css)
10:56:36	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2029%20Oct%202017%2005:26:35%20GMT	http://themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular.svg	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/fonts/glyphicons-halflings-regular-5.html	(from http://themes.khaitawng.com/Branten/css/bootstrap.min.css)
